numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
79.06 30.56
76.38 40.71
61.44 44.64
77.94 99.20
43.67 55.12
79.83 26.59
78.71 79.38
35.53 41.44
25.43 9.42
32.25 72.95
10.35 31.36
32.82 42.33
68.29 89.06
50.37 81.61
73.22 53.04
67.93 68.31
30.08 39.61
5.14 74.69
43.32 24.29
57.94 82.70
10.99 81.77
21.22 26.54
68.11 65.37
48.08 27.09
68.04 32.28
4.07 45.00
3.95 8.46
7.80 17.27
77.22 53.64
58.54 23.65
17.21 67.81
5.43 90.29
64.63 13.71
14.10 94.31
37.52 7.34
64.58 90.21
1.48 87.08
67.45 95.05
63.35 94.89
13.57 64.19
62.03 86.24
18.38 16.00
4.89 57.53
40.24 10.80
60.43 18.32
51.15 85.05
63.67 68.74
33.28 5.59
48.54 53.12
6.64 39.82
41.83 20.27
74.07 44.59
27.44 79.61
1.04 95.11
23.59 15.97
11.29 23.78
36.64 57.81
24.21 69.85
55.24 91.01
51.65 51.64
56.28 93.29
3.95 84.43
42.44 65.26
19.83 7.66
31.18 39.46
55.70 90.97
25.08 69.02
66.94 91.12
10.65 47.33
11.14 89.47
5.09 93.06
44.09 31.44
63.00 11.05
11.06 16.18
1.24 59.51
78.85 88.59
59.54 32.07
71.04 48.69
42.25 25.62
25.52 68.92
6.72 95.41
37.32 5.79
68.63 41.99
49.99 98.19
39.96 69.02
8.49 58.75
7.91 56.89
11.61 10.99
48.46 23.13
31.12 26.57
50.33 26.37
11.66 58.61
62.87 68.67
57.15 9.29
2.87 32.58
12.71 0.85
9.93 83.79
53.13 63.01
54.28 53.31
70.29 88.09
7.12 42.73
23.44 38.22
10.85 13.40
37.24 79.91
76.45 48.12
49.02 86.32
67.39 55.98
55.74 66.24
32.70 90.16
21.90 31.26
12.22 84.24
48.22 41.90
16.58 11.49
41.65 14.03
5.38 27.76
5.50 67.07
38.22 71.23
76.75 43.69
25.04 96.65
38.68 54.21
66.30 77.52
25.39 63.18
18.89 6.69
16.68 61.02
68.59 90.38
44.57 46.04
26.25 70.26
16.62 53.90
74.34 8.36
79.85 97.57
49.63 23.96
5.94 92.24
32.84 21.75
12.76 27.16
20.19 89.72
7.07 64.87
28.48 37.51
55.29 89.41
78.81 62.47
11.21 62.91
28.65 86.77
14.63 36.17
32.41 96.47
69.19 75.75
58.25 92.31
68.36 61.60
41.54 11.89
16.83 38.99
37.76 33.67
3.96 18.11
40.68 19.05
31.90 0.49
16.66 45.05
77.25 40.21
6.85 21.01
64.26 57.56
68.25 79.90
29.28 15.12
19.63 55.92
53.91 95.79
21.30 1.74
58.91 62.52
32.71 45.81
60.15 0.65
19.16 66.02
54.18 89.26
44.92 79.38
55.46 76.53
58.12 55.96
46.72 76.57
3.45 96.51
57.06 40.60
24.50 48.34
25.24 61.81
75.50 57.35
14.15 59.60
56.03 18.40
48.81 53.18
47.04 20.33
17.11 13.06
52.20 7.85
19.50 9.70
12.19 56.18
74.21 34.56
57.18 23.03
37.71 54.19
75.65 62.30
35.43 61.87
1.62 90.36
34.76 64.41
38.93 92.33
51.33 5.44
62.14 96.90
33.24 15.96
13.30 87.15
50.60 15.37
62.88 34.26
20.07 95.65
64.15 57.57
79.31 91.39
3.77 99.65
16.21 88.75
59.53 85.45
73.16 80.89
65.73 8.05
40.82 87.09
52.63 3.57
30.57 92.38
21.27 54.71
18.66 15.06
27.91 62.72
24.58 31.23
13.27 43.84
74.66 98.67
62.39 92.52
42.75 3.54
42.03 37.34
56.60 43.43
51.40 88.78
24.35 86.45
65.12 52.92
13.98 57.82
28.34 92.97
30.86 70.53
30.44 48.28
72.86 21.13
58.66 6.15
60.63 47.02
16.43 19.15
47.51 2.19
41.68 18.47
50.34 11.91
7.82 76.33
67.63 12.81
3.87 76.15
68.12 37.24
27.35 77.06
38.72 49.00
54.72 45.03
69.11 19.78
62.24 78.52
74.76 10.73
5.18 91.51
33.11 72.38
18.16 91.43
70.84 80.83
72.56 82.24
50.69 51.91
19.97 81.86
71.42 85.92
EOF
