numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
15.52 26.34
64.05 20.65
56.68 71.02
5.96 73.32
9.54 36.51
54.63 36.42
67.51 73.33
24.32 22.91
25.43 23.18
53.36 20.16
78.96 74.80
68.39 34.48
1.78 64.01
79.59 82.38
12.06 24.89
27.41 97.07
34.94 46.22
58.86 37.35
46.71 23.24
52.83 5.49
79.25 21.04
4.65 15.29
37.79 25.19
3.05 11.35
54.74 38.50
30.37 36.29
38.72 33.52
10.63 70.69
51.82 89.93
56.71 52.26
24.19 99.42
38.14 94.05
54.00 91.55
2.66 95.26
2.72 41.42
44.30 4.05
22.99 93.50
36.05 2.69
27.26 2.74
29.50 2.81
29.40 97.51
37.05 41.54
56.46 95.51
1.84 43.69
22.65 39.19
63.72 40.60
21.08 57.39
7.20 65.87
43.55 57.42
77.44 54.83
67.10 30.46
15.90 4.04
7.17 69.67
5.92 38.35
41.55 29.98
57.39 43.36
78.78 21.73
77.22 94.22
22.43 14.59
22.48 17.08
36.91 59.35
7.22 23.71
55.79 58.42
72.68 99.12
66.88 92.30
0.77 66.02
53.26 25.80
6.74 44.08
63.88 21.46
10.57 44.64
59.06 48.70
53.46 83.55
47.50 30.50
51.28 87.67
56.85 92.32
66.14 95.50
56.89 78.50
39.63 84.32
70.28 65.05
74.48 20.21
0.27 50.51
50.36 50.27
16.61 45.86
73.94 54.56
65.28 35.30
4.32 33.31
70.85 66.40
37.07 70.69
67.04 36.23
8.11 16.72
77.09 78.36
79.82 8.38
73.20 43.26
36.47 54.59
8.29 74.21
14.11 87.04
50.59 82.81
33.05 24.91
8.43 88.81
33.35 33.12
24.84 49.38
50.89 17.38
45.74 88.70
10.30 26.15
66.38 11.59
33.93 88.51
48.30 40.64
15.06 14.65
62.14 50.26
32.69 73.07
39.27 62.03
36.90 53.40
19.53 23.15
45.68 99.65
39.20 11.20
32.25 41.26
45.47 64.32
66.02 57.41
11.06 52.37
76.80 70.73
53.17 39.64
42.28 67.91
30.70 17.97
7.38 33.31
35.05 94.62
17.64 33.93
11.25 62.70
5.65 73.75
49.44 37.51
78.56 71.44
45.51 8.16
10.99 98.07
30.67 72.70
54.12 1.50
76.47 92.20
22.47 46.19
62.47 11.85
30.17 76.75
72.62 80.71
26.78 29.47
62.15 49.85
78.67 17.07
5.12 67.15
79.05 95.04
8.19 39.26
71.10 97.82
36.00 60.38
51.84 78.81
33.82 38.55
4.67 84.24
65.89 72.50
5.36 93.05
25.48 35.94
22.54 64.29
34.04 83.28
62.16 10.22
47.59 8.50
23.92 1.98
45.92 95.36
19.31 42.48
22.26 60.55
8.31 98.27
10.20 75.21
18.40 55.47
39.59 43.43
33.06 63.80
31.60 15.44
9.52 52.60
9.20 42.55
7.22 79.15
25.49 91.12
11.45 80.81
71.62 84.12
10.85 58.78
18.20 88.55
6.01 42.32
17.52 7.49
31.71 8.44
52.20 82.89
9.31 58.40
57.26 53.30
72.82 72.87
35.95 33.26
3.69 99.39
38.77 52.21
69.13 82.34
56.79 20.57
45.24 81.45
49.08 49.09
37.58 53.66
68.47 8.00
11.48 95.58
25.21 70.73
36.22 6.63
46.26 26.55
11.41 7.68
47.00 70.15
25.61 26.17
73.65 52.49
67.62 88.03
0.97 54.59
19.64 53.38
72.15 72.22
64.26 36.58
73.44 37.38
65.33 74.91
55.26 6.95
47.33 66.00
44.09 48.10
8.69 47.28
5.59 82.82
53.05 67.94
11.18 64.72
42.64 19.32
66.07 67.80
13.90 36.65
45.45 18.46
26.56 10.92
29.61 36.53
49.99 92.86
19.66 96.33
56.18 84.14
50.32 1.54
31.61 19.87
64.71 75.36
17.06 5.27
32.61 82.02
66.02 93.57
66.64 9.09
11.83 81.29
45.30 37.64
17.08 15.87
8.19 92.92
6.43 50.97
69.46 83.93
49.28 39.88
78.65 30.51
41.87 91.29
10.16 38.02
74.11 13.84
26.59 96.74
14.27 37.35
20.36 94.54
66.22 75.44
60.73 47.37
56.02 27.27
74.58 47.48
23.28 86.60
47.56 3.37
75.28 40.93
EOF
