numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
36.27 14.56
74.96 50.88
28.00 41.43
9.11 66.36
43.94 65.42
78.80 47.46
59.08 48.77
30.80 85.45
18.66 96.40
55.87 88.61
1.34 60.69
73.76 2.96
13.19 4.01
33.09 4.24
29.23 64.62
12.46 22.55
1.41 58.65
30.98 27.27
59.57 75.11
77.79 45.25
57.59 16.36
40.33 83.89
11.47 67.27
45.09 26.93
9.19 98.21
9.65 12.90
53.98 61.13
32.41 65.59
29.58 38.70
76.66 71.78
65.64 22.32
0.98 26.43
32.33 3.75
18.81 14.30
8.77 46.75
66.87 46.02
57.40 52.07
23.28 61.62
31.34 76.67
58.92 9.52
78.18 61.36
56.92 90.97
60.95 89.33
61.12 5.39
4.58 26.88
47.76 86.83
28.48 32.36
23.75 57.81
78.08 27.53
4.20 79.80
19.29 30.48
42.45 24.47
52.20 63.74
28.79 86.88
62.36 46.44
8.95 38.80
16.84 39.06
59.13 87.98
38.23 9.27
3.42 62.66
28.60 52.90
63.81 5.00
22.71 62.42
67.83 26.44
48.11 92.01
64.53 32.60
46.40 12.67
16.81 23.87
24.71 65.92
79.78 54.51
70.51 64.95
24.99 0.87
74.88 47.22
45.89 62.21
1.58 75.09
24.74 87.56
62.93 67.81
18.20 78.05
59.16 8.72
12.56 47.60
17.88 29.84
49.15 82.38
58.95 73.48
56.51 96.09
11.78 30.05
71.37 50.92
61.40 73.93
4.02 63.90
6.97 9.31
38.90 65.65
59.45 63.28
30.69 8.71
34.49 45.90
42.49 62.18
63.82 28.94
47.62 19.93
46.75 31.59
68.93 70.85
4.60 73.34
68.83 2.64
27.40 39.17
26.85 24.73
30.79 33.82
50.19 22.50
29.10 1.33
32.23 8.83
68.88 31.77
63.34 50.06
60.59 13.29
59.64 79.87
6.88 14.03
14.49 55.55
26.36 68.45
9.32 71.63
57.95 36.41
73.76 4.82
32.63 98.12
12.84 33.98
22.11 44.82
73.64 71.15
21.64 63.75
68.49 83.56
10.19 13.68
68.71 10.54
5.58 12.68
61.25 88.82
24.95 38.78
57.06 17.59
72.26 62.11
1.46 75.28
75.18 4.85
73.36 9.42
63.51 47.37
48.60 67.28
56.41 43.65
18.67 38.52
18.52 12.54
10.92 72.88
59.62 45.15
32.84 33.46
55.50 8.82
73.46 98.41
62.94 84.71
54.32 37.33
71.41 78.01
48.31 49.64
53.42 66.62
62.88 6.73
44.76 74.41
29.57 0.71
22.88 35.61
67.62 75.16
40.63 13.95
43.60 17.14
28.37 63.23
11.80 41.95
7.56 70.86
56.78 38.95
35.45 89.85
8.37 50.34
59.70 3.69
68.21 29.18
51.97 4.45
34.08 6.39
56.04 38.62
43.12 78.09
9.66 83.34
36.33 78.13
75.74 63.63
68.33 43.74
37.97 73.19
66.30 22.48
0.22 55.07
46.68 68.22
58.43 17.47
22.44 37.67
71.91 6.36
10.38 37.65
24.81 31.42
60.39 9.48
48.09 72.12
19.58 81.72
7.72 90.19
35.33 47.44
56.83 47.00
46.63 16.06
34.50 40.12
61.47 95.23
55.65 4.42
16.13 15.72
39.23 74.54
5.73 56.89
58.70 71.83
56.33 84.69
35.85 34.10
53.61 93.13
31.13 15.27
48.18 51.48
50.03 35.99
38.36 27.44
56.02 92.64
44.06 62.41
75.84 38.88
45.67 86.25
41.65 87.70
15.10 61.48
44.54 89.22
14.97 61.43
52.93 9.49
75.25 83.12
18.86 55.95
67.69 28.44
0.86 68.40
77.01 52.48
62.09 72.61
27.07 90.70
71.16 33.87
25.63 19.87
68.13 84.03
16.60 52.32
44.79 87.23
18.86 46.33
5.57 36.49
27.10 20.12
32.79 42.85
40.02 3.59
64.90 15.19
46.71 30.49
53.90 16.51
37.44 95.42
65.37 81.33
72.45 60.95
7.16 67.95
31.15 52.26
57.86 41.83
46.15 31.51
11.42 12.65
67.90 89.64
42.53 40.97
6.51 28.68
63.56 68.09
74.86 67.34
56.35 65.60
24.29 65.66
57.26 27.20
71.64 73.42
15.65 28.06
6.05 69.36
12.32 4.03
16.94 88.21
EOF
