numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
58.63 76.97
72.85 21.29
44.93 28.43
33.32 17.48
34.24 58.50
58.97 79.16
52.54 77.90
49.35 72.59
26.60 12.01
55.77 16.09
67.80 31.14
39.01 14.52
0.44 26.78
72.58 47.53
38.63 39.87
76.02 10.73
29.81 4.89
32.77 44.61
53.75 37.67
74.61 28.34
10.17 61.15
52.34 48.41
71.13 17.48
31.85 88.70
3.31 71.54
65.39 83.75
32.47 71.86
36.57 64.96
57.85 47.90
12.75 48.01
41.37 36.45
45.63 39.43
30.99 26.66
57.06 16.80
17.55 16.53
40.52 91.67
23.44 27.82
60.99 54.45
57.99 61.98
1.91 83.88
24.80 71.58
22.18 95.46
1.33 26.13
22.53 92.96
63.26 32.85
47.61 37.28
39.45 79.22
2.46 77.43
36.46 24.51
49.60 84.42
46.51 16.09
61.00 41.65
45.65 97.84
41.89 27.11
9.32 71.49
13.98 6.93
16.55 91.68
4.61 8.35
23.48 58.98
1.41 38.96
28.18 76.35
1.92 66.15
45.03 31.44
35.11 33.57
62.35 99.63
23.89 58.84
7.05 74.27
57.66 86.57
37.38 92.81
24.45 21.52
7.36 94.06
31.12 72.71
76.92 87.11
26.95 43.53
19.83 88.28
35.97 90.83
40.09 28.40
61.40 97.97
64.21 10.94
54.74 94.17
72.24 19.32
70.94 79.37
39.10 42.98
29.79 11.74
35.99 73.94
76.26 52.82
24.79 20.14
17.38 23.71
46.43 3.69
58.52 81.48
77.74 58.50
40.21 87.82
8.72 29.45
1.71 34.70
60.70 27.11
40.17 58.34
6.45 73.93
6.01 43.96
7.74 21.22
21.45 70.42
15.33 84.72
69.96 67.97
54.52 88.92
28.55 31.43
62.40 25.86
78.78 93.35
0.16 3.10
74.41 43.03
29.60 39.63
25.12 39.68
37.98 44.86
59.30 97.45
62.70 57.91
12.07 60.15
58.80 95.49
24.95 15.38
20.95 2.79
54.45 30.38
32.69 70.17
23.17 6.28
4.38 42.21
38.78 86.32
62.05 18.56
5.24 99.67
9.98 77.93
79.93 83.11
15.56 26.75
63.99 9.54
62.29 70.35
52.83 89.77
46.07 17.55
10.58 16.46
47.43 12.44
3.58 84.43
26.68 10.37
37.60 55.14
77.55 55.13
39.51 96.32
60.20 10.68
44.97 22.64
55.77 17.81
16.83 45.80
49.04 82.43
54.27 2.48
48.99 77.18
12.19 43.91
45.78 48.65
52.04 0.76
65.62 88.18
76.13 40.48
14.42 55.05
19.29 75.38
44.13 18.83
68.65 37.97
14.83 5.05
54.94 29.48
18.50 92.60
35.06 78.34
72.45 61.79
16.43 15.69
48.17 51.60
55.46 37.14
12.56 31.15
27.03 76.84
18.77 98.76
26.21 36.89
20.40 56.29
28.79 6.36
52.95 24.72
17.98 76.94
64.03 93.34
20.96 65.30
56.64 24.53
29.87 27.45
43.96 85.79
6.88 52.07
74.22 10.17
67.60 52.27
0.10 31.64
32.03 25.39
6.91 16.42
12.76 31.34
35.88 80.06
10.79 83.61
29.35 37.45
31.95 56.52
5.81 48.29
50.01 7.06
34.90 35.16
7.34 92.91
51.54 41.06
7.88 0.99
35.48 93.07
42.51 18.53
71.93 87.27
66.01 21.46
6.06 64.61
33.20 63.54
36.84 46.50
49.66 99.10
48.77 58.38
10.27 41.23
62.68 46.28
35.83 97.72
38.67 54.36
37.56 61.77
30.65 37.15
30.69 70.90
61.97 73.49
3.64 74.90
57.42 31.34
36.34 13.09
76.07 55.13
11.50 75.99
58.11 40.61
64.94 86.09
18.70 11.11
67.35 64.98
38.17 78.94
61.10 61.64
11.29 98.49
66.49 65.93
58.95 18.12
0.31 75.45
9.17 47.16
28.53 39.89
17.47 29.42
62.34 35.61
32.29 63.29
8.25 56.83
19.59 64.72
47.69 14.73
28.35 38.25
66.88 51.55
40.05 13.29
58.03 92.53
65.70 15.82
60.93 5.77
63.52 19.46
12.23 61.73
43.44 65.50
53.52 49.86
25.68 89.05
37.99 26.83
22.71 50.52
75.42 67.59
17.34 86.33
38.81 48.94
61.46 27.54
18.95 19.62
EOF
