numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
61.58 30.95
52.42 65.26
54.54 62.73
49.62 78.25
58.99 62.82
9.18 49.31
53.20 25.45
70.36 85.32
38.39 59.05
28.00 88.87
73.20 92.24
73.13 36.86
46.01 60.02
41.07 27.76
37.04 62.17
65.80 64.86
47.87 58.13
0.44 0.96
13.93 82.59
30.94 76.37
45.86 75.39
45.72 34.50
41.09 33.13
66.33 40.96
3.09 4.24
51.78 98.07
61.55 16.83
68.71 0.20
26.08 37.10
14.73 63.64
56.24 46.83
66.73 60.90
75.42 2.95
70.70 93.95
13.72 16.48
26.41 40.98
27.17 98.54
33.60 33.56
74.77 83.45
25.65 62.10
21.76 37.00
6.03 46.53
68.39 29.47
73.09 47.59
18.70 60.90
68.60 6.43
56.56 49.85
65.38 84.25
23.98 44.53
36.02 46.61
47.79 82.50
23.45 51.98
79.94 42.55
33.48 25.25
3.70 32.25
58.15 55.00
79.71 82.84
50.46 96.91
7.39 70.35
66.75 54.63
23.69 3.64
20.31 87.42
21.07 83.20
73.05 29.61
57.22 22.65
32.57 80.00
6.70 57.84
29.58 52.26
47.93 99.70
63.73 92.29
36.08 13.60
0.81 26.62
21.36 86.15
65.50 14.84
16.83 84.25
58.83 50.67
15.56 92.29
7.99 81.40
0.45 40.76
39.30 28.02
48.65 20.98
24.77 95.16
53.01 54.97
16.96 1.92
66.16 64.36
67.58 0.18
9.54 85.76
19.02 58.47
69.34 77.86
19.52 1.91
33.85 31.07
11.82 19.41
67.15 31.10
36.34 59.79
53.91 36.00
47.99 6.89
27.89 3.20
2.49 31.71
59.03 11.09
41.72 53.73
14.89 50.40
0.14 67.19
12.80 20.91
74.42 1.98
55.87 44.50
50.62 68.55
13.69 37.22
76.22 12.02
50.08 90.37
7.21 68.30
20.92 65.95
24.36 44.55
73.85 2.37
27.99 43.50
0.53 71.50
22.81 51.25
28.23 78.14
66.44 75.36
69.39 93.89
37.40 47.59
2.54 44.52
45.37 20.46
77.82 77.28
55.39 71.06
5.48 79.69
44.77 38.40
1.29 73.81
37.04 55.32
14.02 24.29
3.69 78.73
20.67 6.53
42.81 28.36
13.34 13.12
68.67 41.36
68.72 46.38
22.48 19.09
60.66 18.30
63.26 95.18
71.03 50.18
35.69 63.70
45.46 61.64
38.95 16.71
36.07 38.24
34.27 81.41
23.15 53.07
37.79 90.58
54.19 73.66
29.70 64.04
12.31 68.99
62.49 99.40
59.60 94.65
77.80 92.21
10.09 6.82
45.97 72.61
41.55 73.52
73.39 32.97
43.68 47.21
0.66 13.45
55.45 87.26
75.74 63.16
29.29 76.20
56.99 6.52
35.93 39.67
16.58 96.69
53.84 96.92
66.73 71.97
53.15 32.83
40.74 48.98
16.51 20.10
28.81 73.38
44.75 99.43
70.16 57.32
47.85 0.70
47.90 13.64
6.58 54.71
66.17 9.27
17.30 12.43
42.75 47.54
10.70 30.60
74.94 64.75
60.01 37.56
56.39 49.87
62.71 28.01
15.46 75.15
70.54 39.12
45.13 49.47
38.72 6.81
20.29 75.64
57.48 68.46
48.72 8.92
18.54 51.29
70.49 21.47
25.40 65.29
75.83 33.05
5.55 28.15
70.68 18.30
12.75 83.61
14.63 51.84
59.79 53.76
47.82 87.10
8.58 59.93
13.72 25.01
23.64 63.81
44.71 6.90
30.70 67.91
60.83 71.96
8.91 88.60
29.44 22.37
63.78 35.24
78.10 84.86
12.36 97.54
41.85 75.04
73.86 27.09
38.10 0.99
65.15 1.56
73.84 32.77
61.93 47.95
18.43 5.89
17.20 90.72
52.11 95.55
33.09 31.85
79.57 99.93
29.02 69.91
77.52 90.51
24.13 81.68
69.96 63.30
18.16 9.36
12.20 99.35
40.94 92.03
30.89 39.40
18.05 96.46
28.83 5.94
20.17 17.07
67.84 92.34
78.23 15.54
70.13 83.39
57.64 68.99
27.43 26.65
79.27 11.46
0.39 41.09
72.19 50.30
75.01 81.39
32.15 35.46
41.82 84.40
69.03 23.96
61.99 30.68
35.83 53.78
37.58 9.10
66.98 82.35
11.78 12.56
EOF
