numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
78.51 21.90
13.94 46.35
23.74 47.18
57.42 41.22
42.55 75.01
54.99 22.65
27.51 12.06
2.22 55.98
1.56 90.02
29.85 52.75
33.02 62.50
70.55 26.56
36.30 2.58
70.37 99.67
51.07 65.64
78.17 56.39
32.23 58.58
8.77 61.75
45.76 39.75
3.83 31.05
25.37 3.00
73.78 59.42
14.64 33.50
16.07 4.79
66.98 34.32
45.29 41.62
27.16 21.16
5.73 72.90
10.67 34.67
49.11 96.13
34.61 35.65
66.35 40.54
49.34 28.16
66.16 28.90
51.58 93.37
50.85 71.76
41.52 5.77
65.06 64.12
79.49 10.66
37.47 34.20
11.20 5.61
11.68 50.70
71.46 53.63
5.99 37.72
10.26 64.28
68.65 23.28
9.46 67.14
48.06 6.42
65.94 35.98
65.33 49.47
79.79 78.24
35.68 88.60
27.55 94.49
5.12 68.43
32.08 59.10
79.77 58.69
39.85 38.30
74.76 43.02
37.88 45.62
36.12 71.74
26.38 69.63
56.75 84.45
0.41 53.55
40.64 7.76
12.48 25.02
74.89 65.72
25.21 35.55
30.72 73.15
76.35 24.60
69.30 37.12
42.08 87.16
1.15 48.51
20.80 93.78
51.45 91.10
29.69 46.27
38.78 6.81
29.02 69.93
54.03 16.80
28.63 25.95
35.98 16.63
18.89 56.56
25.07 4.51
58.94 23.53
38.25 32.75
3.27 6.28
48.37 65.77
3.79 66.80
11.84 5.55
68.53 32.02
13.10 22.13
63.85 59.25
58.93 79.48
63.71 0.04
2.39 12.71
38.98 24.25
16.78 1.52
27.71 22.72
44.47 42.91
23.59 92.57
53.78 51.68
28.48 56.13
73.00 23.86
60.94 75.22
23.49 42.81
63.88 22.60
0.04 33.75
14.04 14.18
74.37 3.79
75.73 55.60
18.08 62.86
36.11 0.48
40.67 12.92
5.23 16.79
48.85 72.34
23.90 11.49
21.91 44.14
52.25 87.20
71.16 10.92
24.92 61.08
6.15 44.07
55.09 79.00
64.28 73.77
47.68 58.37
77.99 56.16
51.03 12.79
27.52 26.70
44.50 40.86
26.46 21.70
23.71 50.19
52.97 41.54
30.63 82.61
21.99 78.61
48.98 78.99
76.09 10.38
4.38 64.25
33.89 27.87
30.16 72.96
5.62 40.22
38.35 54.37
34.39 2.60
16.80 50.18
19.06 49.37
56.56 23.65
30.02 21.69
36.67 18.86
23.46 83.60
65.23 75.68
58.98 75.93
45.09 21.93
17.85 14.70
58.24 74.81
49.88 55.94
0.66 71.01
63.80 54.64
78.25 16.80
27.63 27.97
42.30 63.65
42.69 21.24
74.16 42.56
78.37 72.79
26.02 64.77
62.10 83.02
18.43 51.24
28.95 29.96
77.63 11.01
69.54 28.18
3.96 27.08
12.94 44.80
32.37 39.00
56.01 16.24
36.39 61.24
61.94 59.14
73.47 29.34
57.99 30.13
43.86 34.00
20.20 61.32
56.40 71.48
26.22 60.27
40.45 56.98
31.30 46.16
6.85 27.33
63.04 19.67
42.57 97.86
38.44 26.89
57.67 93.88
65.08 44.96
59.54 16.47
0.93 19.92
77.53 76.01
5.12 39.67
17.07 48.37
43.82 67.48
50.46 25.74
61.52 8.16
61.08 12.02
10.91 61.06
38.89 93.69
14.60 37.62
54.41 55.19
44.30 91.99
37.66 47.02
78.68 20.30
63.09 56.48
69.96 25.06
48.90 2.67
67.17 22.16
74.01 68.52
39.44 79.69
12.97 70.31
42.31 8.96
76.28 27.89
22.79 64.89
43.28 93.33
57.77 36.09
8.68 48.12
44.03 12.33
25.64 7.58
12.15 86.62
6.67 19.04
58.44 95.09
59.22 64.99
62.47 34.65
8.08 40.39
74.83 92.46
16.33 62.69
26.06 23.81
21.59 12.76
6.06 49.09
46.06 22.59
30.96 68.75
6.07 56.62
22.71 25.89
37.46 9.14
39.58 73.91
6.50 81.71
65.19 59.18
18.62 52.99
63.43 31.39
21.93 90.07
21.76 37.27
62.16 72.89
9.63 71.61
29.86 67.27
24.20 4.37
71.52 57.70
52.31 99.88
29.91 30.69
71.00 32.75
42.14 91.48
35.88 2.71
EOF
