numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
24.68 62.15
76.30 69.75
59.07 33.47
10.74 16.79
12.53 39.94
49.90 47.47
70.43 60.01
39.72 48.25
0.19 55.13
76.38 0.06
63.94 30.16
48.76 42.55
39.21 58.92
17.48 58.95
3.53 4.41
71.58 38.67
53.98 0.81
8.52 13.93
74.61 39.13
34.54 16.55
45.73 67.75
67.33 73.63
59.92 25.76
22.93 16.90
0.27 74.95
39.42 27.94
5.75 6.86
35.57 48.02
18.88 97.81
5.55 2.66
47.79 87.48
56.97 50.54
62.59 79.40
28.68 8.13
14.12 92.28
79.24 34.34
31.94 59.52
13.14 27.24
13.52 88.70
13.10 24.31
17.28 8.61
20.47 56.94
15.20 44.37
38.78 82.02
42.78 49.29
20.65 74.48
17.76 85.27
63.76 33.73
48.29 80.49
6.14 72.82
40.18 77.70
12.98 3.79
47.93 95.11
72.25 12.41
23.60 33.30
27.09 19.30
23.43 14.94
32.59 56.87
35.35 86.40
8.75 53.65
5.08 7.45
44.55 55.63
11.65 99.07
29.88 52.03
54.79 2.19
50.04 84.01
5.66 37.21
27.27 49.77
43.16 39.06
1.02 63.90
55.01 74.56
1.85 77.89
54.62 99.68
37.75 61.63
63.16 53.70
38.37 50.35
71.61 33.86
15.94 28.65
32.77 96.16
53.82 50.07
6.96 0.41
31.62 15.19
64.49 15.93
30.30 27.76
29.59 80.96
37.65 61.68
3.77 64.17
39.83 83.48
25.85 47.99
76.35 18.56
15.65 65.94
51.71 87.84
59.48 36.01
13.38 17.05
58.47 81.92
68.08 80.49
52.64 36.36
68.07 42.22
52.91 95.78
68.74 79.37
74.69 0.37
32.37 93.86
37.79 97.58
1.50 78.71
3.09 52.48
27.33 99.87
15.54 0.90
35.79 85.39
46.82 87.99
24.61 5.81
21.40 80.95
8.13 16.06
38.75 95.79
60.03 78.57
6.11 53.45
67.56 69.48
27.74 58.96
6.59 14.51
76.22 18.15
40.53 22.41
6.08 34.35
55.42 63.93
2.38 20.12
17.52 17.38
30.40 58.23
63.67 55.74
1.81 6.40
72.66 57.81
51.36 79.63
33.42 71.43
69.44 22.74
68.17 42.85
37.92 2.60
26.07 81.41
55.74 94.30
52.98 46.46
75.88 66.85
2.15 78.99
43.73 98.91
5.74 78.47
62.96 96.64
66.47 83.97
22.60 45.83
26.75 94.06
36.79 32.76
56.86 8.62
40.38 38.23
25.60 95.78
68.02 99.87
11.75 11.27
21.51 36.76
2.44 56.51
42.90 1.86
29.90 92.38
29.25 34.71
2.22 31.18
6.11 41.83
52.20 9.29
41.24 78.58
68.82 34.91
5.26 37.49
57.04 25.51
14.43 35.14
47.30 66.05
78.91 71.77
36.21 4.84
33.66 8.24
46.66 20.74
35.18 6.05
36.68 29.07
30.26 32.77
62.39 61.10
47.13 53.00
49.71 13.03
69.80 51.39
33.75 23.20
13.47 2.74
36.95 28.71
54.03 79.60
54.28 5.90
45.42 91.17
11.14 28.48
58.14 42.48
31.64 26.77
30.90 87.83
18.75 2.30
60.95 44.41
3.09 75.85
69.21 49.08
8.78 0.96
13.49 80.08
22.13 23.74
18.55 39.04
49.01 72.39
51.64 52.75
60.39 7.68
47.28 10.74
14.85 8.41
59.24 43.73
69.01 47.48
44.74 41.12
54.84 18.84
36.72 48.89
60.41 77.43
7.22 28.30
39.93 38.97
44.12 76.86
77.06 71.04
21.88 29.79
44.05 13.82
22.73 63.46
71.62 34.04
66.33 75.73
21.03 44.88
20.71 11.47
61.55 53.09
12.12 95.47
5.82 43.89
60.90 81.08
29.13 69.23
65.96 5.56
69.94 37.21
72.70 82.93
33.97 80.37
9.50 25.34
76.31 66.37
0.42 5.56
22.09 33.70
68.94 1.14
43.51 93.96
45.11 59.60
44.04 31.73
20.17 0.12
3.23 18.81
73.72 78.81
59.12 41.27
59.34 42.35
35.65 35.36
50.79 35.69
44.85 87.63
61.37 9.41
23.55 32.31
3.65 63.38
61.74 57.98
6.40 50.73
60.98 61.90
78.45 70.98
40.23 42.20
65.51 96.98
63.49 49.73
EOF
